29
2.1	2009.5772	2639.9012
2.2	2039.5114	2697.521
2.3	2375.9392	3045.3515
3.1	2124.0989	2485.4088
3.2	2146.628	2559.6114
3.3	2630.641	3018.2128
4.1	2105.2164	2189.6374
4.2	2316.3966	2700.3179
4.3	2657.1257	2906.3346
6.1	2290.7774	1998.0394
6.2	2788.8699	2410.0947
6.3	2854.2038	2644.3652
7.1	2622.7078	2084.4284
7.2	2801.1899	2223.9875
7.3	2944.5085	2538.0002
8.1	2552.6343	1969.2303
8.2	2852.0118	2156.9039
8.3	3044.5587	2703.031
11.1	2820.5721	1940.4148
11.2	2895.5824	1997.4526
11.3	3194.9024	2576.7252
14.1	2195.5281	2137.0472
14.2	2583.2365	2294.8928
14.4	2969.1042	3114.5505
18.1	2565.7938	2032.3686
18.2	2657.4143	2068.9346
20.1	2330.9075	2069.4725
20.2	2670.088	2225.6571
20.3	2994.2596	2988.8391
