45
1.1	1999.2173	2612.2073	1.19
1.2	2052.5057	2715.7844	1.19
1.3	2369.9504	3038.7051	1.19
2.1	2009.0843	2637.6857	1.21
2.2	2041.0575	2699.1674	1.21
2.3	2376.2684	3045.3515	1.21
3.1	2128.735	2510.3171	1.24
3.2	2132.6815	2525.2714	1.24
3.3	2635.3139	3017.6587	1.24
4.1	2105.8745	2189.0836	1.393
4.2	2316.6599	2699.1948	1.393
4.3	2657.0273	2909.1039	1.393
5.1	2114.1654	2185.7615	1.4
5.2	2319.4243	2690.8873	1.4
5.3	2668.8732	2904.6725	1.4
6.1	2292.2248	1995.8087	1.428
6.2	2790.8438	2410.633	1.428
6.3	2855.2233	2641.0266	1.428
7.1	2623.0369	2084.4284	1.05
7.2	2801.4863	2224.5398	1.05
7.3	2943.6529	2537.4464	1.05
8.1	2551.1868	1969.7842	2.04
8.2	2851.2222	2157.5193	2.04
8.3	3043.5721	2704.6927	2.04
9.1	2612.3734	1950.9519	3.74
9.2	2831.8696	2075.5522	3.74
9.3	3106.7573	2756.7429	3.74
10.1	2594.2146	1947.6294	3.78
10.2	2837.3973	2084.4131	3.78
10.3	3102.0198	2760.6208	3.78
11.1	2820.8026	1940.4148	3.546
11.2	2895.4179	1997.4527	3.546
11.3	3194.7707	2576.1713	3.546
12.1	2267.315	2549.0993	6.112
12.2	2583.1705	2295.4451	6.112
12.3	2195.1005	2137.5856	6.112
12.4	2968.6109	3115.1044	6.112
13.1	2084.5105	2544.0963	1.058
13.2	2098.7194	2583.4212	1.058
14.1	2937.3336	2522.1057	1.035
14.2	2783.7196	2210.3075	1.035
14.3	2597.7711	2071.3585	1.035
20.1	2330.9075	2069.4725	3.518
20.2	2670.088	2225.6571	3.518
20.3	2994.2596	2988.8391	3.518
