48
1.1	1290.598	1903.847	9.6766	1.2	1332.1307	1982.146
1.1	1290.598	1903.847	9.6766	1.3	1671.1432	2328.9722
1.2	1343.963	2007.048	5.453	1.1	1271.8628	1862.1415
1.2	1343.963	2007.048	5.453	1.3	1652.5284	2322.7413
1.3	1661.335	2330.337	16.8764	1.1	1291.44	1919.5111
1.3	1661.335	2330.337	16.8764	1.2	1327.847	1984.9499
2.1	1300.43	1929.178	19.946	2.2	1318.4179	1962.3036
2.1	1300.43	1929.178	19.946	2.3	1679.4771	2335.0006
2.2	1332.625	1990.574	17.6704	2.1	1283.3002	1895.7891
2.2	1332.625	1990.574	17.6704	2.3	1669.1026	2332.1033
4.1	1397.487	1480.338	3.7852	4.2	1596.0654	1974.0458
4.1	1397.487	1480.338	3.7852	4.3	1950.5245	2196.0599
4.2	1608.052	1990.735	3.6971	4.1	1384.6284	1470.5665
4.2	1608.052	1990.735	3.6971	4.3	1929.6474	2185.5582
4.3	1948.35	2197.219	3.5941	4.1	1394.9827	1486.458
4.3	1948.35	2197.219	3.5941	4.2	1590.9248	1974.5131
5.1	1405.53	1477.487	7.953	5.2	1596.5962	1964.505
5.1	1405.53	1477.487	7.953	5.3	1965.154	2195.5147
5.2	1610.708	1982.395	4.8942	5.1	1392.5422	1464.5908
5.2	1610.708	1982.395	4.8942	5.3	1941.9725	2182.5326
5.3	1960.064	2196.378	6.0742	5.1	1403.3758	1480.3268
5.3	1960.064	2196.378	6.0742	5.2	1594.5774	1967.4659
6.1	1583.887	1287.267	19.8362	6.2	2070.3082	1692.44
6.1	1583.887	1287.267	19.8362	6.3	2138.4942	1911.9537
6.2	2082.181	1702.185	33.2134	6.1	1591.483	1280.9517
6.2	2082.181	1702.185	33.2134	6.3	2140.488	1890.9025
6.3	2146.556	1932.49	33.971	6.1	1594.4687	1292.0506
6.3	2146.556	1932.49	33.971	6.2	2060.6179	1667.4066
8.1	1842.905	1261.304	3.4068	8.2	2113.3282	1418.5344
8.1	1842.905	1261.304	3.4068	8.3	2332.0547	1998.5086
8.2	2142.717	1449.018	3.9143	8.1	1807.8133	1239.3235
8.2	2142.717	1449.018	3.9143	8.3	2328.3708	1974.3959
8.3	2335.038	1996.161	3.0934	8.1	1854.04	1263.9666
8.3	2335.038	1996.161	3.0934	8.2	2111.5607	1412.5342
11.1	2112.18	1231.68	0.9805	11.2	2161.4898	1269.6353
11.1	2112.18	1231.68	0.9805	11.3	2479.5366	1886.4047
11.2	2186.85	1289.162	1.3614	11.1	2080.4445	1208.349
11.2	2186.85	1289.162	1.3614	11.3	2479.111	1877.1314
11.3	2486.48	1867.937	0.2169	11.1	2131.349	1232.1267
11.3	2486.48	1867.937	0.2169	11.2	2168.1878	1261.2629
12.2	1874.862	1587.238	0.9665	12.3	1464.9976	1420.8652
12.3	1486.629	1429.003	0.9957	12.2	1851.9327	1563.9765
14.1	2220.789	1809.452	0.3874	14.2	2078.0288	1523.6594
14.1	2220.789	1809.452	0.3874	14.3	2223.7189	1821.748
14.2	2074.832	1500.765	30.3298	14.1	1904.9511	1364.395
14.2	2074.832	1500.765	30.3298	14.3	2232.4402	1821.102
14.3	1889.999	1357.141	0.6803	14.1	1897.9741	1359.5111
14.3	1889.999	1357.141	0.6803	14.2	2087.9776	1506.8628
